191844093,1654909151.674 1654910721.007 1654910721.464 1654911671.039 1655038637.025 1655110093.222 1655111778.238 1655119446.527 1655156648.583
191844234,1654909152.344 1654910894.447 1654910894.915 1654911674.480 1655038638.135 1655100674.803 1655100976.652 1655105666.064 1655106091.072
191844392,1654909452.277 1654911109.728 1654911110.777 1654911667.612 1655038639.714 1655104733.471 1655114155.531 1655119417.818 1655157286.311
191844851,1654910052.951 1654911776.388 1654911776.975 1654912774.920 1655068066.482 1655140955.581 1655140955.987 1655147299.433 1655156871.548
191844878,1654911809.171 1654911811.005 1654912775.232 1655050123.851 1655124080.362 1655125461.573 1655127451.098 1655156227.000
191844924,1654910351.568 1654911871.351 1654911872.022 1654912777.988 1655050124.552 1655124861.466 1655127601.547 1655156949.129
191844965,1654910347.263 1654911732.450 1654911733.270 1654912750.261 1655050123.580 1655123088.956 1655125585.331 1655127243.033 1655156606.290
191845244,1654910651.774 1654912299.611 1654912300.254 1654912784.970 1655050127.133 1655122816.238 1655123687.942 1655126790.039 1655156981.004
191845832,1654911252.284 1654913030.957 1654913031.450 1654914022.636 1655026360.365 1655109130.201 1655122576.729 1655122906.077 1655157306.611
191845957,1654911551.619 1654913189.873 1654913190.496 1654914026.576 1655026360.891 1655108737.514 1655109610.502 1655112741.839 1655115617.866
191846254,1654911852.192 1654913549.017 1654913549.582 1654914011.235 1655026366.755 1655101936.735 1655102087.017 1655105545.222 1655108092.814
191846706,1654912452.267 1654914081.972 1654914083.076 1654915067.903 1655026362.436 1655100286.271 1655102116.965 1655103741.381 1655104884.961
191846833,1654912452.548 1654914236.921 1654914237.756 1654915070.455 1655067882.184 1655132473.472 1655132533.611 1655134816.910 1655156631.334
191847802,1654913651.975 1654915351.072 1654915351.754 1654916354.754 1655027985.445 1655112500.314 1655112500.798 1655115657.731 1655116833.482
191848036,1654913952.161 1654915685.705 1654915686.609 1654916360.466 1655026390.319 1655100585.187 1655101696.650 1655105394.949 1655108124.120
191848060,1654913952.204 1654915710.827 1654915711.319 1654916360.825 1655067890.622 1655163398.188 1655163398.385 1655166492.834 1655175851.849
191848491,1654914552.046 1654916180.335 1654916181.070 1654916371.690 1655026393.616 1655099109.580 1655101877.061 1655104854.908 1655108120.961
191848709,1654914847.658 1654914849.353 1654914849.874 1654915082.245 1655067886.070 1655148291.582 1655150279.249 1655157168.563
191849192,1654915451.536 1654917006.333 1654917006.851 1654917628.232 1655068085.536 1655175571.734 1655175572.024 1655177768.719 1655181956.971
191849797,1654916052.150 1654917758.410 1654917758.986 1654918885.647 1655026393.677 1655106777.402 1655107138.869 1655111928.148 1655115600.661
191850202,1654916651.905 1654918274.870 1654918276.010 1654918889.828 1655026396.860 1655101456.473 1655103981.318 1655107498.956 1655108113.495
191850307,1654916652.619 1654918394.403 1654918395.311 1654918894.606 1655101276.098 1655103921.015 1655107710.992 1655108074.572
191850346,1654916952.546 1654918459.823 1654918460.402 1654918896.744 1655026398.214 1655101936.699 1655103980.971 1655106689.166 1655107140.263
191850863,1654917551.961 1654919122.117 1654919123.092 1654919966.942 1655026401.813 1655105063.781 1655110814.588 1655128352.822 1655156189.484
191851246,1654918151.387 1654919659.034 1654919659.873 1654919975.919 1655026404.344 1655098869.890 1655100947.396 1655105724.870 1655108123.150
191851423,1654918152.529 1654919886.875 1654919887.541 1654921191.603 1655026405.391 1655100345.272 1655100435.147 1655102689.368 1655102921.881
191851529,1654918451.705 1654920051.389 1654920052.150 1654921194.889 1655026406.362 1655106988.825 1655107921.353 1655125344.931 1655158128.958
191852399,1654919651.437 1654921212.087 1654921212.666 1654922492.795 1655026415.009 1655107742.150 1655109128.967 1655113463.620 1655115620.592
191852524,1654919652.729 1654921389.320 1654921389.980 1654922497.982 1655026415.870 1655107922.014 1655108104.268 1655112264.942 1655115590.059
191852634,1654919951.733 1654921536.534 1654921537.237 1654922493.107 1655067923.911 1655142517.589 1655142517.759 1655144326.406 1655156604.070
191852656,1654919951.968 1654921572.217 1654921573.487 1654922494.319 1655068103.566 1655141044.484 1655141044.730 1655149497.873 1655158030.126
191852987,1654920252.435 1654922029.713 1654922030.445 1654922519.176 1655050135.346 1655124049.446 1655124109.435 1655126457.096 1655157256.212
191853022,1654920551.283 1654922082.875 1654922083.383 1654922520.602 1655050135.987 1655122545.219 1655124081.479 1655127029.729 1655157257.252
191853068,1654920551.392 1654922163.902 1654922165.156 1654922521.552 1655050135.960 1655124109.680 1655125133.386 1655127210.448 1655156566.221
191853246,1654920851.740 1654922432.622 1654922433.246 1654923579.172 1655050137.791 1655123989.574 1655125705.197 1655131178.458 1655157251.881
191853546,1654921152.457 1654922884.057 1654922884.640 1654923592.964 1655050124.194 1655121880.761 1655122329.440 1655124534.107 1655158176.730
191854348,1654922651.459 1654924185.223 1654924186.096 1654924817.753 1655050131.319 1655123661.495 1655127419.057 1655132021.104 1655156762.550
191854457,1654922652.248 1654924338.627 1654924339.301 1654924820.042 1655050132.298 1655124771.410 1655127330.781 1655134067.902 1655157272.380
191854549,1654924488.409 1654924489.553 1654924839.056 1655068110.830 1655137256.669 1655137316.899 1655140713.287 1655158031.318
191854611,1654922951.700 1654924603.412 1654924604.090 1654924840.123 1655050134.679 1655125192.132 1655128233.524 1655131778.867 1655157264.880
191854658,1654922951.744 1654924674.624 1654924675.340 1654925892.738 1655050134.766 1655124772.085 1655125281.892 1655131298.875 1655157315.561
191855069,1654923852.748 1654925386.833 1654925387.296 1654925902.617 1655050138.031 1655121640.620 1655121881.225 1655124050.402 1655157317.548
191855161,1654923852.586 1654925568.503 1654925568.965 1654925921.852 1655046749.300 1655147149.715 1655147149.967 1655149107.198 1655157025.206
191855216,1654924151.800 1654925659.274 1654925660.462 1654925922.631 1655050139.353 1655122485.646 1655122545.311 1655125345.727 1655156604.143
191855238,1654924151.489 1654925700.740 1654925702.198 1654925923.287 1655050139.766 1655126758.068 1655126818.276 1655130185.327 1655157282.032
191855267,1654924151.312 1654925738.093 1654925738.729 1654925924.103 1655068113.928 1655180143.879 1655180145.282 1655186283.164
191855290,1654924151.500 1654925765.981 1654925766.500 1654925924.529 1655050140.012 1655126367.313 1655126578.210 1655129463.807 1655156952.074
191855605,1654924751.639 1654926347.521 1654926348.073 1654927157.484 1655067952.455 1655164301.037 1655164301.503 1655167815.034 1655175916.501
191855612,1654924751.492 1654926370.312 1654926370.757 1654927157.957 1655050154.309 1655123568.863 1655125371.900 1655126126.988 1655156904.402
191855703,1654924751.774 1654926541.097 1654926541.647 1654927159.925 1655050155.402 1655122516.884 1655126125.400 1655127932.042 1655156236.423
191855916,1654925351.340 1654926969.041 1654926969.509 1654927165.127 1655050157.417 1655124861.690 1655125522.083 1655128171.960 1655156801.736
191856096,1654925652.561 1654927382.296 1654927382.990 1654928422.896 1655050159.510 1655120858.317 1655121730.397 1655127360.205 1655157360.883
191857249,1654928352.016 1654930103.110 1654930104.527 1654930773.283 1655050170.224 1655125342.359 1655150220.087 1655150430.475 1655157301.608
191857723,1654929551.657 1654931351.114 1654931351.699 1654932035.492 1655050174.445 1655123209.142 1655125072.990 1655127208.887 1655156275.021
191858882,1654933451.308 1654935158.656 1654935159.935 1654935642.682 1655116022.524 1655150309.320 1655150820.795 1655152749.122 1655158024.882
191859003,1654934050.942 1654935702.231 1654935702.695 1654936719.718 1655116022.673 1655150550.944 1655150820.143 1655152989.784 1655157343.043
191859125,1654934651.047 1654936284.841 1654936285.625 1654936722.961 1655116023.717 1655150671.003 1655151247.455 1655152148.242 1655157300.222
191859381,1654935852.122 1654937352.150 1654937353.589 1654937982.005 1655116024.550 1655148440.964 1655151485.907 1655152509.422 1655157345.672
191859453,1654936151.285 1654937688.503 1654937689.100 1654937984.406 1655067928.127 1655128200.607 1655128202.425 1655131540.947 1655156668.666
191859559,1654936750.838 1654938293.269 1654938293.931 1654939214.889 1655116025.969 1655149106.397 1655149560.138 1655156425.159
191859616,1654937051.123 1654938596.107 1654938596.721 1654939216.311 1655116026.226 1655152839.595 1655152989.403 1655159158.227 1655181295.168
191859648,1654937051.123 1654938754.635 1654938755.489 1654939216.655 1655116026.142 1655153049.809 1655154372.082 1655159998.467 1655175850.742
191859751,1654937651.099 1654939269.921 1654939270.428 1654940298.594 1655116027.148 1655154282.617 1655154945.120 1655160811.985 1655181344.663
191859976,1654938551.527 1654940309.338 1654940310.021 1654941563.501 1655116028.275 1655159973.821 1655177829.496 1655178071.246 1655179330.126
191860061,1654939150.962 1654940671.180 1654940671.940 1654941564.628 1655116028.483 1655160600.496 1655160600.856 1655162136.071 1655181350.265
191860186,1654939751.011 1654941353.360 1654941354.278 1654941566.774 1655116029.427 1655149106.107 1655149257.961 1655149588.297 1655157417.321
191860368,1654940351.755 1654942028.511 1654942029.987 1654942828.857 1655116030.107 1655149318.213 1655149709.100 1655150190.154 1655157369.303
191860968,1654943347.951 1654944855.779 1654944856.423 1654945179.149 1655116033.211 1655158856.641 1655160329.685 1655162675.983 1655181346.623
191860978,1654943347.876 1654944744.238 1654944745.409 1654945179.120 1655116033.221 1655152629.615 1655153380.315 1655154224.415 1655157430.733
191861094,1654943947.825 1654945434.409 1654945434.946 1654946439.855 1655067934.340 1655181227.687 1655181227.909 1655184114.462
191861526,1654945447.937 1654946917.739 1654946918.622 1654947522.981 1655116020.690 1655152479.682 1655153049.376 1655155334.396 1655157324.885
191861794,1654946347.617 1654947876.913 1654947877.777 1654948815.139 1655116023.138 1655153712.023 1655154552.958 1655159368.856 1655181335.772
191862010,1654947248.065 1654948604.875 1654948605.484 1654948818.329 1655068555.557 1655125161.293 1655127059.576 1655127600.351 1655157326.403
191862485,1654948452.006 1654950153.531 1654950153.876 1654951129.923 1655068559.881 1655128441.728 1655132833.336 1655156957.797
191862725,1654949112.361 1654950800.008 1654950800.896 1654951135.341 1655068561.418 1655123660.874 1655124740.107 1655127029.753 1655156966.451
191863643,1654952954.802 1654952955.479 1654953660.465 1655046801.382 1655107408.991 1655107409.278 1655111388.780 1655111417.306
191864272,1654952651.447 1654954241.986 1654954242.849 1654954776.195 1655068596.127 1655125825.079 1655128200.494 1655131358.275 1655156971.427
